1;1;13;5
1;1;14;10
1;1;15;1
1;1;3;7
1;1;6;16
1;1;8;9
1;1;11;4
1;1;12;2
2;2;7;11
2;2;9;12
2;2;10;3
2;2;16;8
2;2;1;13
2;2;2;6
2;2;4;14
2;2;5;15
3;3;1;10
3;3;3;11
3;3;5;2
3;3;6;4
3;3;12;16
3;3;13;8
3;3;14;9
3;3;15;7
4;4;4;15
4;4;6;12
4;4;7;1
4;4;8;3
4;4;9;5
4;4;10;13
4;4;11;14
4;4;2;16
5;5;14;6
5;5;15;9
5;5;16;10
5;5;12;11
5;5;13;3
5;5;1;8
5;5;2;4
5;5;5;7
6;6;14;13
6;6;8;12
6;6;9;16
6;6;10;2
6;6;11;15
6;6;3;1
6;6;4;5
6;6;6;7
7;7;12;1
7;7;15;8
7;7;2;11
7;7;3;9
7;7;5;14
7;7;7;13
7;7;16;4
7;7;10;6
8;8;1;5
8;8;4;10
8;8;6;15
8;8;8;7
8;8;9;2
8;8;11;16
8;8;13;12
8;8;14;3
9;9;7;14
9;9;9;6
9;9;10;11
9;9;15;2
9;9;16;13
9;9;4;1
9;9;5;8
9;9;3;12
10;10;14;15
10;10;1;16
10;10;2;3
10;10;7;9
10;10;8;10
10;10;11;6
10;10;12;5
10;10;13;4
11;11;10;7
11;11;11;8
11;11;16;5
11;11;9;13
11;11;2;14
11;11;3;15
11;11;4;12
11;11;6;1
12;12;1;9
12;12;5;11
12;12;7;2
12;12;8;4
12;12;12;14
12;12;13;6
12;12;15;10
12;12;16;3
13;13;2;13
13;13;3;5
13;13;4;7
13;13;6;8
13;13;10;9
13;13;11;1
13;13;14;16
13;13;15;12
14;14;8;14
14;14;9;4
14;14;12;7
14;14;13;11
14;14;16;15
14;14;3;6
14;14;5;10
14;14;1;2
15;15;6;5
15;15;7;16
15;15;10;12
15;15;11;9
15;15;14;1
15;15;15;13
15;15;2;8
15;15;4;3
16;16;16;6
16;16;9;8
16;16;4;11
16;16;2;12
16;16;5;13
16;16;10;14
16;16;1;15
16;16;7;3
17;17;12;9
17;17;3;10
17;17;8;16
17;17;13;1
17;17;6;2
17;17;14;4
17;17;15;5
17;17;11;7
